Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
1,C,Yan Gomes,31,97,358,314,36,70,16,0,12,43,2,0,38,84,0.223,0.316,0.389,0.704,78,122,7,5,0,1,6,WSN
2,1B,Matt Adams,30,111,333,310,42,70,14,0,20,56,0,0,20,115,0.226,0.276,0.465,0.741,83,144,7,2,0,1,1,WSN
3,2B,Brian Dozier,32,135,482,416,54,99,20,0,20,50,3,4,61,105,0.238,0.34,0.43,0.771,95,179,11,4,0,1,2,WSN
4,SS,Trea Turner,26,122,569,521,96,155,37,5,19,57,35,5,43,113,0.298,0.353,0.497,0.85,113,259,10,3,0,2,2,WSN
5,3B,Anthony Rendon,29,146,646,545,117,174,44,3,34,126,5,1,80,86,0.319,0.412,0.598,1.01,153,326,13,12,0,9,8,WSN
6,LF,Juan Soto,20,150,659,542,110,153,32,5,34,110,12,1,108,132,0.282,0.401,0.548,0.949,138,297,11,3,0,6,3,WSN
7,CF,Victor Robles,22,155,617,546,86,139,33,3,17,65,28,9,35,140,0.255,0.326,0.419,0.745,88,229,6,25,6,5,3,WSN
8,RF,Adam Eaton,30,151,656,566,103,158,25,7,15,49,15,3,65,106,0.279,0.365,0.428,0.792,101,242,8,13,9,3,0,WSN
9,IF,Howie Kendrick,35,121,370,334,61,115,23,1,17,62,2,1,27,49,0.344,0.395,0.572,0.966,142,191,11,4,0,5,1,WSN
10,C,Kurt Suzuki,35,85,309,280,37,74,11,0,17,63,0,1,20,36,0.264,0.324,0.486,0.809,102,136,10,6,0,3,1,WSN
11,UT,Gerardo Parra,32,89,204,188,30,47,11,1,8,42,6,2,11,41,0.25,0.3,0.447,0.747,87,84,7,3,1,1,1,WSN
12,1B,Ryan Zimmerman,34,52,190,171,20,44,9,0,6,27,0,0,17,39,0.257,0.321,0.415,0.736,86,71,4,0,0,2,0,WSN
13,2B,Asdrubal Cabrera,33,38,146,124,24,40,10,1,6,40,0,0,19,18,0.323,0.404,0.565,0.969,143,70,3,0,0,3,1,WSN
14,SS,Wilmer Difo,27,43,144,131,15,33,2,0,2,8,0,1,12,29,0.252,0.315,0.313,0.628,61,41,2,0,1,0,3,WSN
15,CF,Michael A. Taylor,28,53,97,88,10,22,7,0,1,3,6,0,7,34,0.25,0.305,0.364,0.669,70,32,0,0,2,0,0,WSN
16,SS,Carter Kieboom,21,11,43,39,4,5,0,0,2,2,0,0,4,16,0.128,0.209,0.282,0.491,24,11,0,0,0,0,1,WSN
17,LF,Andrew Stevenson,25,30,37,30,4,11,1,1,0,0,0,1,6,11,0.367,0.486,0.467,0.953,146,14,1,1,0,0,0,WSN
18,UT,Adrian Sanchez,28,28,32,31,3,7,0,0,0,1,0,0,1,10,0.226,0.25,0.226,0.476,23,7,0,0,0,0,0,WSN
19,CI,Jake Noll,25,8,13,12,1,2,1,0,0,2,0,0,1,4,0.167,0.231,0.25,0.481,23,3,0,0,0,0,0,WSN
20,C,Raudy Read,25,6,11,11,0,1,0,0,0,0,0,0,0,5,0.091,0.091,0.091,0.182,-53,1,1,0,0,0,0,WSN
21,C,Tres Barrera,24,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,WSN
