Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
1,C,Yasmani Grandal#\grandya01,30,153,632,513,79,126,26,2,28,77,5,1,109,139,0.246,0.38,0.468,0.848,119,240,16,5,0,5,2,MIL
2,1B,Eric Thames*\thameer01,32,149,459,396,67,98,23,2,25,61,3,2,51,140,0.247,0.346,0.505,0.851,117,200,0,10,0,2,4,MIL
3,2B,Keston Hiura\hiurake01,22,84,348,314,51,95,23,2,19,49,9,3,25,107,0.303,0.368,0.57,0.938,138,179,6,8,0,1,1,MIL
4,SS,Orlando Arcia\arciaor01,24,152,546,494,51,110,16,1,15,59,8,5,43,109,0.223,0.283,0.35,0.633,64,173,15,1,2,6,5,MIL
5,3B,Mike Moustakas*\moustmi01,30,143,584,523,80,133,30,1,35,87,3,0,53,98,0.254,0.329,0.516,0.845,114,270,12,6,0,2,5,MIL
6,LF,Ryan Braun\braunry02,35,144,508,459,70,131,31,2,22,75,11,1,34,105,0.285,0.343,0.505,0.849,116,232,15,8,0,3,1,MIL
7,CF,Lorenzo Cain\cainlo01,33,148,623,562,75,146,30,0,11,48,18,8,50,106,0.26,0.325,0.372,0.697,81,209,14,6,0,4,0,MIL
8,RF,Christian Yelich*\yelicch01,27,130,580,489,100,161,29,3,44,97,30,2,80,118,0.329,0.429,0.671,1.1,179,328,8,8,0,3,16,MIL
9,OF,Ben Gamel*\gamelbe01,27,134,356,311,47,77,18,0,7,33,2,2,40,104,0.248,0.337,0.373,0.71,85,116,0,3,0,2,2,MIL
10,3B,Travis Shaw*\shawtr01,29,86,270,230,22,36,5,0,7,16,0,0,36,89,0.157,0.281,0.27,0.551,45,62,5,4,0,0,3,MIL
11,1B,Jesus Aguilar\aguilje01,29,94,262,222,26,50,9,0,8,34,0,0,31,59,0.225,0.32,0.374,0.694,80,83,11,2,0,4,0,MIL
12,2B,Hernan Perez\perezhe01,28,91,246,232,29,53,11,0,8,18,5,1,11,66,0.228,0.262,0.379,0.642,64,88,9,0,2,1,0,MIL
13,OF,Trent Grisham*\grishtr01,22,51,183,156,24,36,6,2,6,24,1,0,20,48,0.231,0.328,0.41,0.738,90,64,3,4,0,3,0,MIL
14,C,Manny Pina\pinama01,32,76,179,158,10,36,8,0,7,25,0,0,16,50,0.228,0.313,0.411,0.724,86,65,1,4,0,1,1,MIL
15,2B,Cory Spangenberg*\spangco01,28,32,102,95,11,22,2,2,2,10,3,0,6,36,0.232,0.277,0.358,0.635,63,34,1,0,1,0,1,MIL
16,UT,Tyler Saladino\saladty01,29,28,71,65,7,8,0,0,2,8,2,0,5,26,0.123,0.197,0.215,0.413,8,14,1,1,0,0,0,MIL
17,1B,Tyler Austin\austity01,27,17,27,20,5,4,2,0,1,4,1,0,6,7,0.2,0.37,0.45,0.82,112,9,1,0,0,1,1,MIL
18,,David Freitas\freitda01,30,16,16,13,1,1,0,0,0,0,0,0,3,5,0.077,0.25,0.077,0.327,-8,1,1,0,0,0,0,MIL
19,OF,Tyrone Taylor\tayloty01,25,15,12,10,1,4,2,0,0,1,0,0,1,1,0.4,0.5,0.6,1.1,185,6,0,1,0,0,0,MIL
20,UT,Jacob Nottingham\nottija01,24,9,7,6,1,2,0,0,1,4,0,0,0,2,0.333,0.429,0.833,1.262,215,5,0,1,0,0,0,MIL
21,SS,Mauricio Dubon\dubonma01,24,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,MIL
22,P,Zach Davies\davieza02,26,34,55,52,3,8,2,0,0,3,0,0,1,25,0.154,0.17,0.192,0.362,-6,10,1,0,2,0,0,MIL
23,P,Brandon Woodruff*\woodrbr01,26,25,49,45,1,12,4,0,0,4,0,0,1,20,0.267,0.283,0.356,0.638,65,16,0,0,3,0,0,MIL
24,P,Chase Anderson\anderch01,31,31,44,40,1,4,1,0,0,1,0,0,2,24,0.1,0.143,0.125,0.268,-29,5,0,0,2,0,0,MIL
25,P,Gio Gonzalez\gonzagi01,33,18,28,25,1,1,0,0,0,0,0,0,1,17,0.04,0.077,0.04,0.117,-68,1,0,0,2,0,0,MIL
26,P,Adrian Houser\housead01,26,32,27,22,0,1,1,0,0,0,0,0,2,17,0.045,0.125,0.091,0.216,-42,2,0,0,3,0,0,MIL
27,P,Jhoulys Chacin\chacijh01,31,18,25,24,2,3,0,0,1,1,0,0,1,10,0.125,0.16,0.25,0.41,4,6,0,0,0,0,0,MIL
28,P,Jordan Lyles\lylesjo01,28,10,22,20,2,2,0,0,0,2,0,0,1,12,0.1,0.143,0.1,0.243,-35,2,0,0,1,0,0,MIL
29,P,Freddy Peralta\peralfr01,23,37,16,15,1,2,0,0,0,1,0,0,0,6,0.133,0.133,0.133,0.267,-30,2,0,0,1,0,0,MIL
30,P,Corbin Burnes\burneco01,24,30,8,7,0,2,0,0,0,0,0,0,0,2,0.286,0.286,0.286,0.571,50,2,0,0,1,0,0,MIL
31,P,Aaron Wilkerson\wilkeaa01,30,8,3,3,1,1,0,0,1,2,0,0,0,1,0.333,0.333,1.333,1.667,298,4,0,0,0,0,0,MIL
32,P,Junior Guerra\guerrju02,34,65,3,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,75,1,0,0,0,0,0,MIL
33,P,Jimmy Nelson\nelsoji02,30,10,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,MIL
34,P,Josh Hader*\haderjo01,25,56,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,MIL
35,P,Drew Pomeranz\pomerdr01,30,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,MIL
36,P,Jay Jackson\jacksja01,31,27,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,MIL
37,P,Brent Suter*\suterbr01,29,9,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,MIL
38,P,Jeremy Jeffress\jeffrje01,31,45,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,MIL
39,P,Taylor Williams#\willita01,27,12,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,MIL
40,P,Devin Williams\willide03,24,13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,MIL
41,P,Burch Smith\smithbu03,29,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,MIL
