Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
1,C,Austin Barnes,29,75,242,212,28,43,12,1,5,25,3,0,23,56,0.203,0.293,0.34,0.633,68,72,8,5,0,2,3,LAD
2,1B,Max Muncy,28,141,589,487,101,122,22,1,35,98,4,1,90,149,0.251,0.374,0.515,0.889,133,251,5,8,0,4,1,LAD
3,2B,Enrique Hernandez,27,130,460,414,57,98,19,1,17,64,4,0,36,97,0.237,0.304,0.411,0.715,87,170,9,6,0,4,3,LAD
4,SS,Corey Seager,25,134,541,489,82,133,44,1,19,87,1,0,44,98,0.272,0.335,0.483,0.817,113,236,8,4,0,4,3,LAD
5,3B,Justin Turner,34,135,549,479,80,139,24,0,27,67,2,0,51,88,0.29,0.372,0.509,0.881,131,244,11,14,0,5,1,LAD
6,LF,Joc Pederson,27,149,514,450,83,112,16,3,36,74,1,1,50,111,0.249,0.339,0.538,0.876,127,242,4,12,0,2,2,LAD
7,CF,A.J. Pollock,31,86,342,308,49,82,15,1,15,47,5,1,23,74,0.266,0.327,0.468,0.795,108,144,7,7,0,4,1,LAD
8,RF,Cody Bellinger,23,156,661,558,121,170,34,3,47,115,15,5,95,108,0.305,0.406,0.629,1.035,169,351,10,3,0,4,21,LAD
9,UT,Chris Taylor,28,124,414,366,52,96,29,4,12,52,8,0,37,115,0.262,0.333,0.462,0.794,108,169,6,4,2,5,3,LAD
10,OF,Alex Verdugo,23,106,377,343,43,101,22,2,12,44,4,1,26,49,0.294,0.342,0.475,0.817,114,163,8,2,0,6,1,LAD
11,UT,Matt Beaty,26,99,268,249,36,66,19,1,9,46,5,0,17,33,0.265,0.317,0.458,0.775,102,114,6,2,0,0,2,LAD
12,C,Russell Martin,36,83,249,209,29,46,5,0,6,20,1,0,30,60,0.22,0.337,0.33,0.667,79,69,1,8,0,2,3,LAD
13,C,Will Smith,24,54,196,170,30,43,9,0,15,42,2,0,18,52,0.253,0.337,0.571,0.907,134,97,3,5,0,3,1,LAD
14,1B,David Freese,36,79,186,162,35,51,13,0,11,29,0,0,23,44,0.315,0.403,0.599,1.002,161,97,7,1,0,0,0,LAD
15,2B,Gavin Lux,21,23,82,75,12,18,4,1,2,9,2,0,7,24,0.24,0.305,0.4,0.705,85,30,0,0,0,0,0,LAD
16,UT,Kristopher Negron,33,30,57,54,9,14,1,0,2,7,0,1,3,17,0.259,0.298,0.389,0.687,81,21,1,0,0,0,1,LAD
17,CI,Edwin Rios,25,28,56,47,10,13,2,1,4,8,0,0,9,21,0.277,0.393,0.617,1.01,162,29,1,0,0,0,0,LAD
18,OF,Kyle Garlick,27,30,53,48,8,12,4,0,3,6,0,0,5,19,0.25,0.321,0.521,0.842,118,25,0,0,0,0,1,LAD
19,IF,Jedd Gyorko,30,24,39,36,1,5,1,0,0,2,0,0,3,10,0.139,0.205,0.167,0.372,1,6,2,0,0,0,0,LAD
20,1B,Tyler White,28,12,26,22,2,1,0,0,0,2,0,0,4,4,0.045,0.192,0.045,0.238,-31,1,0,0,0,0,0,LAD
21,C,Rocky Gale,31,5,15,15,1,2,0,0,0,0,0,0,0,7,0.133,0.133,0.133,0.267,-29,2,1,0,0,0,0,LAD
22,,Travis d'Arnaud,30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,LA
